title,price,area,price_per_sqft,locality,city,property_type,bedroom_num,bathroom_num,balcony_num,furnished,age,total_floors,latitude,longitude
 ,60000000,1860,32258.064516129034,Andheri,Mumbai,Apartment,3,4,0,Semi-Furnished,8,1,19.13805008,72.82532501
Bhoomi Simana Wing A Phase 1,53000000,1350,39259.25925925926,Parel,Mumbai,Apartment,3,3,0,Semi-Furnished,0,1,18.99879456,72.84338379
 ,12500000,1000,12500.0,Vashi,Mumbai,Apartment,2,2,0,Semi-Furnished,0,1,19.09006882,73.00334167
Adityaraj Majestic,9800000,600,16333.333333333334,Chembur,Mumbai,Apartment,1,2,0,Unfurnished,0,1,19.05251312,72.9052887
Neminath Heights,14400000,1452,9917.355371900827,Mira Road,Mumbai,Apartment,3,3,0,Semi-Furnished,0,1,19.29102135,72.87895203
Neminath Heights,9800000,1060,9245.283018867925,Mira Road,Mumbai,Apartment,1,2,0,Semi-Furnished,0,1,19.29102135,72.87895203
 ,16630000,621,26779.38808373591,Santacruz,Mumbai,Apartment,2,2,0,Unfurnished,0,1,19.0835762,72.85018921
PNK Space Tiara Hills Phase I Bldg No 3 5 And 2,6000000,675,8888.888888888889,Mira Road,Mumbai,Apartment,1,2,0,Semi-Furnished,0,1,19.27721214,72.88743591
Royal Palms Piccadilly Condos,2900000,490,5918.367346938776,Goregaon,Mumbai,Apartment,1,1,0,Unfurnished,18,1,19.15535355,72.88746643
Royal Palms Palms Residences,7600000,800,9500.0,Goregaon,Mumbai,Apartment,2,2,0,Semi-Furnished,0,1,19.15537071,72.88745117
PNK Imperial Heights,6400000,675,9481.481481481482,Mira Road,Mumbai,Apartment,1,2,0,Semi-Furnished,5,1,19.2723217,72.87452698
PNK Imperial Heights,9000000,995,9045.226130653265,Mira Road,Mumbai,Apartment,2,2,0,Semi-Furnished,5,1,19.2723217,72.87452698
Reputed Builder Prathmesh Heritage,12100000,1030,11747.57281553398,Mira Road,Mumbai,Apartment,2,2,0,Furnished,4,1,19.29805374,72.87605286
Squarefeet Grace Square,5700000,850,6705.882352941177,Mumbra,Mumbai,Apartment,2,2,0,Unfurnished,7,1,19.16921806,73.03074646
Squarefeet Grace Square,6900000,1050,6571.428571428572,Mumbra,Mumbai,Apartment,2,2,0,Unfurnished,7,1,19.16921806,73.03074646
Meraki ONE MERAKI,29500000,772,38212.43523316062,Chembur,Mumbai,Apartment,2,2,0,Semi-Furnished,0,1,19.05181313,72.90020752
 ,12700000,420,30238.095238095237,Jogeshwari,Mumbai,Apartment,1,2,0,Unfurnished,0,1,19.14257622,72.84370422
 ,16500000,665,24812.03007518797,Dahisar,Mumbai,Apartment,2,2,0,Semi-Furnished,6,1,19.25813293,72.84890747
Chandak Cornerstone,32500000,720,45138.88888888889,Worli,Mumbai,Apartment,2,2,0,Unfurnished,0,1,18.99811935,72.81504822
Indiabulls Sky Forest,168750000,1875,90000.0,Lower Parel,Mumbai,Apartment,4,4,0,Unfurnished,4,1,19.00762367,72.83289337
Dhariwal Magathane Press Enclave CHSL,28000000,1149,24369.016536118364,Borivali,Mumbai,Apartment,3,3,0,Unfurnished,0,1,19.2169342,72.86742401
Dhariwal Magathane Press Enclave CHSL,10500000,551,19056.261343012706,Borivali,Mumbai,Apartment,1,2,0,Unfurnished,0,1,19.2169342,72.86742401
Dhariwal Magathane Press Enclave CHSL,14000000,673,20802.377414561663,Borivali,Mumbai,Apartment,2,2,0,Unfurnished,0,1,19.2169342,72.86742401
Dhariwal Magathane Press Enclave CHSL,13500000,673,20059.435364041605,Borivali,Mumbai,Apartment,2,2,0,Unfurnished,0,1,19.2169342,72.86742401
Dhariwal Magathane Press Enclave CHSL,11000000,550,20000.0,Borivali,Mumbai,Apartment,1,2,0,Unfurnished,0,1,19.2169342,72.86742401
Dhariwal Magathane Press Enclave CHSL,13800000,676,20414.201183431953,Borivali,Mumbai,Apartment,2,2,0,Unfurnished,0,1,19.2169342,72.86742401
Dhariwal Magathane Press Enclave CHSL,14000000,673,20802.377414561663,Borivali,Mumbai,Apartment,2,2,0,Unfurnished,0,1,19.2169342,72.86742401
Dhariwal Magathane Press Enclave CHSL,13500000,673,20059.435364041605,Borivali,Mumbai,Apartment,2,2,0,Unfurnished,0,1,19.2169342,72.86742401
Dhariwal Magathane Press Enclave CHSL,11000000,550,20000.0,Borivali,Mumbai,Apartment,1,2,0,Unfurnished,0,1,19.2169342,72.86742401
Dhariwal Magathane Press Enclave CHSL,13800000,676,20414.201183431953,Borivali,Mumbai,Apartment,2,2,0,Unfurnished,0,1,19.2169342,72.86742401
Dhariwal Magathane Press Enclave CHSL,11300000,551,20508.166969147005,Borivali,Mumbai,Apartment,1,2,0,Unfurnished,0,1,19.2169342,72.86742401
Dhariwal Magathane Press Enclave CHSL,28000000,1149,24369.016536118364,Borivali,Mumbai,Apartment,3,3,0,Unfurnished,0,1,19.2169342,72.86742401
Meraki ONE MERAKI,47000000,1221,38493.03849303849,Chembur,Mumbai,Apartment,3,3,0,Semi-Furnished,0,1,19.05181313,72.90020752
B G Shirke Monte Verita West Tower,14500000,718,20194.9860724234,Borivali,Mumbai,Apartment,2,2,0,Unfurnished,0,1,19.22400856,72.86885071
BG Shirke Parijat Hill View,10500000,534,19662.921348314605,Borivali,Mumbai,Apartment,1,2,0,Unfurnished,0,1,19.22455025,72.86902618
 ,7200000,600,12000.0,Bhayandar,Mumbai,Apartment,1,1,0,Semi-Furnished,0,1,19.31095886,72.85369873
Chandak GREENAIRY,19000000,724,26243.093922651933,Borivali,Mumbai,Apartment,2,2,0,Unfurnished,0,1,19.22264481,72.86534882
Chandak GREENAIRY,20000000,750,26666.666666666668,Borivali,Mumbai,Apartment,2,2,0,Unfurnished,0,1,19.22264481,72.86534882
Chandak GREENAIRY,19500000,732,26639.344262295082,Borivali,Mumbai,Apartment,2,2,0,Unfurnished,0,1,19.22264481,72.86534882
CCI Rivali Park Stargaze,18200000,822,22141.11922141119,Borivali,Mumbai,Apartment,2,2,0,Unfurnished,0,1,19.21585846,72.86445618
CCI Rivali Park Stargaze,25000000,914,27352.297592997813,Borivali,Mumbai,Apartment,2,2,0,Unfurnished,0,1,19.21585846,72.86445618
